# overall AIC: 53.99298240601 
#  partChain,AIC
0,55.266289197370
1,55.251881634588
2,55.225430288496
3,55.679333403262
4,55.023135437134
5,55.731236832788
6,54.814338432288
7,55.565498277822
8,54.782843666686
9,55.277414461496
10,55.668342056472
11,54.572175741426
12,54.485157165938
13,55.274903184752
14,55.618613824492
15,54.559650887288
16,56.203111840744
17,54.552292110080
18,54.484073465286
19,55.591521830286
20,55.716416771324
21,55.139127468170
22,55.084976051576
23,54.821451863042
24,54.522246137436
25,54.996296170068
26,54.309128958496
27,55.596870934696
28,55.541775937242
29,55.125713459600
30,55.137076792696
31,55.134766365522
32,53.992982406010
33,55.071994923318
34,55.188289737514
35,55.357727774606
36,55.635465617186
37,55.396287384084
38,54.891883836440
39,54.999426507240
40,55.736413473538
41,55.590094297662
42,55.416319884918
43,55.248230912228
44,54.140422511334
45,55.369852457584
46,55.864074506420
47,55.627501204694
48,54.871305831500
49,55.134362486674
