# overall AIC: 54.140443417642 
#  partChain,AIC
0,55.122101909534
1,56.521797886722
2,56.201253804222
3,56.467657792870
4,56.130702923710
5,56.464364101744
6,54.679520865376
7,56.701489865530
8,55.098504635340
9,54.269813095920
10,57.256340044258
11,56.908293544608
12,55.869162553040
13,56.241636166640
14,55.053075819682
15,56.116810844492
16,55.521607003478
17,55.119625303482
18,56.848969975962
19,56.477506912706
20,57.200025441362
21,55.392431237252
22,56.182327876100
23,54.846773972118
24,55.704827785274
25,56.743204445996
26,56.200015967886
27,56.857331961320
28,55.781234412130
29,55.611887129326
30,56.655152304940
31,56.101898949092
32,56.755384217754
33,55.525924485446
34,54.140443417642
35,56.325015044846
36,55.646226958126
37,56.136070346100
38,56.538629249044
39,54.676609721966
40,55.426119506944
41,54.785229385182
42,55.769348714898
43,56.031565336840
44,56.203382042784
45,56.330653797070
46,55.418041764750
47,55.803926582262
48,56.487021265562
49,56.202322893812
