# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
4.185105021409999959e-01,4.489438942530999732e+00,2.313680251274000010e+00,1.549526646749999903e-01,1.054546852449000038e+00,3.531472309424000144e+00,-1.709670324193000113e+01
1.267797193469999972e-01,5.900471794345000021e+00,2.799644924117000055e+00,6.088839889489999768e-01,2.851544756861999819e+00,3.529410905588000080e+00,-1.687881645703900091e+01
7.432265231600000688e-02,4.107183173454999725e+00,2.457751354848999981e+00,7.163282823300000379e-02,9.407631409900000241e-01,3.841552576521999995e+00,-1.679585091521099827e+01
3.330426137640000173e-01,4.571456172709999599e+00,2.518837414180000067e+00,1.836055410430000034e-01,1.095207294686999955e+00,3.524774801207999797e+00,-1.563949415093600059e+01
1.796563331400000130e-01,4.815568963225000054e+00,2.697824660341999969e+00,3.006739350850000103e-01,9.039003826579999901e-01,3.391173142757999859e+00,-1.629643709024000131e+01
8.292058937480000225e-01,4.757716903700999644e+00,2.272828572763000210e+00,2.124711163599999897e-01,1.477438797315000052e+00,3.556829284361000099e+00,-1.581560890674600017e+01
1.601717992080000097e-01,4.164812656896000220e+00,2.715692211478999862e+00,6.022299970500000210e-02,1.185235304816000035e+00,3.367972597655000122e+00,-2.015946382970700057e+01
8.621838316850000128e-01,5.421862656800000124e+00,2.458732710580000091e+00,1.057986676969999984e-01,1.383224021810000037e+00,4.231584175432000272e+00,-1.854350150662800090e+01
1.040136013966999950e+00,3.991263445775000029e+00,1.994887350128000003e+00,5.904031842799999791e-02,1.276601571320999939e+00,3.828575400905000148e+00,-1.645596052387400121e+01
5.978954089660000193e-01,4.339738981434000387e+00,2.220001343008000116e+00,1.415856534150000123e-01,1.524218896530000089e+00,3.876193091739000174e+00,-1.668445844255500177e+01
-1.527899166270000053e-01,7.768199017028000419e+00,3.374006916074999918e+00,1.432179263470000075e-01,2.171580681212999853e+00,3.601736333555999980e+00,-1.906243477206799852e+01
4.021566620870000164e-01,4.268547655531000018e+00,2.445585864614999938e+00,9.603461999399999505e-02,1.348045066369000011e+00,3.460002579709000159e+00,-1.575389131986900004e+01
8.861133808719999783e-01,3.634649595262000155e+00,2.007359484704000163e+00,2.919345821320000200e-01,2.558100923373999969e+00,3.513046720770999887e+00,-1.690058963490099941e+01
6.201803270569999915e-01,4.068549740266999670e+00,2.166724397517000078e+00,1.612554471140000001e-01,1.993637365349999913e+00,3.643118964255999792e+00,-1.558937872880900066e+01
5.991663678549999927e-01,5.807065539555999578e+00,2.591932905829999800e+00,4.331141648299999813e-01,9.340212126800000458e-01,3.590578270456000087e+00,-1.631998188721100007e+01
1.069040611171000021e+00,3.599476325028000190e+00,1.918082529956000037e+00,2.711085252500000098e-01,2.731118548552999847e+00,3.537322031432999836e+00,-1.638823007438299939e+01
7.661548477870000484e-01,3.800934636247999876e+00,2.118833274760000052e+00,1.236334892860000007e-01,2.064180617027000064e+00,3.748551780119000032e+00,-1.569847577618300072e+01
3.628846077630000222e-01,4.102860277045000004e+00,2.461872406176000005e+00,2.540251063810000098e-01,2.199486478603000172e+00,3.796208104404000139e+00,-1.726952784542299923e+01
-6.826028338999999556e-02,7.985243620289000255e+00,3.448629473510000043e+00,3.529369019999999829e-02,1.976775948321999987e+00,3.324747620956999938e+00,-1.978837338430500026e+01
5.441351934839999682e-01,5.173703165756999844e+00,2.478224908356000178e+00,3.736252186599999664e-02,9.878787978880000376e-01,3.748780701529999870e+00,-1.522344035835200060e+01
7.015802757510000154e-01,5.296664209052000416e+00,2.365269028710000221e+00,1.600652516709999973e-01,7.512143343799999873e-02,3.286014503254000019e+00,-1.901900828392500031e+01
8.189343225749999844e-01,5.760597008160999621e+00,2.479766735410999789e+00,1.674921472950000045e-01,1.549406883324000006e+00,3.870064813081000032e+00,-1.647428901271399937e+01
1.732815350290000111e-01,4.333271764762000267e+00,2.720606300321000148e+00,1.112752148290000048e-01,1.321940049314000110e+00,3.541789085878999988e+00,-1.645613784670999991e+01
4.957379038990000208e-01,4.841150869926000411e+00,2.487108044669000151e+00,4.677423103299999801e-02,1.692083344250999932e+00,3.872311265921000167e+00,-1.534361565865600063e+01
4.532775307870000048e-01,6.103620645386000021e+00,2.535561515316000047e+00,5.231194957150000491e-01,1.081489833198999939e+00,3.232064990901000190e+00,-1.673857880750599847e+01
5.156974359270000141e-01,5.363663617983999821e+00,2.568321526337999927e+00,3.889001345159999734e-01,1.265696046159999977e+00,3.587160359684999911e+00,-1.632561149290999936e+01
5.919623317569999710e-01,6.634428824839000427e+00,2.562023050989000073e+00,5.281638023500000167e-02,1.288195744173000090e+00,3.691738721040000115e+00,-2.009427927359099897e+01
4.865182565269999815e-01,4.635237171528999944e+00,2.378251505435999835e+00,1.256134452959999925e-01,1.820660159115000010e+00,3.654208757035000144e+00,-1.573222766356500024e+01
3.505115130149999980e-01,4.157599236701999601e+00,2.448212542944999903e+00,1.782846532809999884e-01,1.424072592214000066e+00,3.749049749045000102e+00,-1.670899893357099941e+01
6.833375116300000052e-01,4.754193763108999882e+00,2.337059954150999985e+00,1.499315306289999983e-01,1.028424323025000087e+00,3.595672737432999977e+00,-1.541490138000800059e+01
-1.372365135620000065e-01,8.118799616705999256e+00,3.342389007862000216e+00,6.380438683899999908e-02,1.803982083805999892e+00,3.265285768890000107e+00,-2.179085599734300160e+01
2.390857903000000000e-03,7.923966718566999745e+00,3.414547153016000092e+00,9.943090784800000248e-02,1.884957336575999953e+00,3.286713732820000011e+00,-1.948527868157900045e+01
1.177395291405999966e+00,4.367768098317999836e+00,2.142911642143999984e+00,1.526271199629999908e-01,2.353392518091999897e+00,3.764088721903000145e+00,-1.646791067640799966e+01
3.629702470050000240e-01,5.124997762239999588e+00,2.794031257806000035e+00,2.996414616740000203e-01,9.717782740039999645e-01,3.588805707186999872e+00,-1.723779642114400090e+01
-2.838239453300000006e-02,6.872935742881000287e+00,3.201467732664999843e+00,2.899060791120000036e-01,9.067036725570000177e-01,3.440203336224000097e+00,-1.809295770607100096e+01
7.954596716449999771e-01,5.021824802468000115e+00,2.397087684099000082e+00,1.527715667729999949e-01,1.670301093605000009e+00,3.824502527918999917e+00,-1.605230076687299956e+01
1.247073423116999979e+00,4.107659469030999766e+00,2.162721033312999808e+00,1.490054081920000051e-01,2.260898864216999815e+00,4.043317371191999854e+00,-1.898419722878200133e+01
6.394946894530000314e-01,4.790008334518000233e+00,2.245257225150000036e+00,4.751289810370000199e-01,1.399956585385000007e+00,3.763579983666999862e+00,-1.609576423843699899e+01
7.216958700340000421e-01,5.197054263881000225e+00,2.336470461409000166e+00,4.248440167060000272e-01,6.185128870589999828e-01,3.771569562424000210e+00,-1.661508154005300142e+01
-1.864778467809999896e-01,7.649192140417000019e+00,3.377214658350999876e+00,9.092765533600000172e-02,1.945539644908000021e+00,3.453345029794999910e+00,-1.953561282946400013e+01
8.325832238879999903e-01,4.309957512623999953e+00,2.188857164153000134e+00,1.768856074859999905e-01,1.335879913639000049e+00,3.732867430964999844e+00,-1.494779609552599986e+01
5.636792340080000185e-01,4.308383266139999890e+00,2.353702776751999792e+00,9.866923069899999343e-02,1.611927892925000050e+00,3.727929711198000096e+00,-1.508135813652200063e+01
7.626087209070000483e-01,5.544986468131999580e+00,2.496345837444000182e+00,1.510796530469999954e-01,1.544527778668000062e+00,4.074997993020000209e+00,-1.685333830373100028e+01
5.843556536880000207e-01,5.191721175027000257e+00,2.453236068563000138e+00,4.138555021779999898e-01,5.716647122150000371e-01,3.684121437751000094e+00,-1.541436625146300088e+01
6.356720505690000023e-01,4.217030635697000207e+00,2.366134789691999973e+00,1.469566673990000127e-01,1.755561948256999960e+00,3.817081663295999849e+00,-1.694341146370700102e+01
4.793017850540000069e-01,4.760020121251000269e+00,2.339685983038000128e+00,1.086099772419999998e-01,1.862862051180999901e+00,3.862378178216999913e+00,-1.623564790400699920e+01
8.335704266029999587e-01,3.476996048640999870e+00,1.757199031145999957e+00,3.284382707469999940e-01,1.957503909696000077e+00,3.592490157489999891e+00,-1.699719555531299875e+01
3.031387660420000185e-01,4.729543333089999635e+00,2.462286956409999839e+00,2.643683258760000099e-01,1.347810247696999975e+00,3.587650557344999935e+00,-1.593935704181500057e+01
8.280781195399999906e-01,6.655135926677999691e+00,2.684345894965999957e+00,3.811651720999999909e-02,1.139832508088999941e+00,3.612667256671000082e+00,-1.891612620398599987e+01
1.808468576779999892e-01,6.275664730782000156e+00,2.944110059642000010e+00,1.746758297129999971e-01,8.980135708119999505e-01,3.711283011922999808e+00,-1.540858846326199938e+01
