# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
-1.450183791559999935e-01,4.402877063394999624e+00,2.487980348199000158e+00,2.772713725199999965e-02,1.788445695682999936e+00,2.685196379994000182e+00,-4.046354257476200189e+01
4.726864495299999691e-02,4.263820698858999947e+00,2.237136049046999808e+00,2.327800020299999884e-02,1.389181637252000057e+00,3.249525629132000049e+00,-4.084958885934999984e+01
-4.365442168099999826e-02,3.919155247042000134e+00,2.223125863931000090e+00,1.745132003669999932e-01,1.350907701202999966e+00,2.585757247652999968e+00,-3.786912200159400044e+01
1.191322286159999938e-01,4.494163191755999875e+00,2.367554566689999973e+00,2.184776284400000157e-02,2.089192161395000191e+00,2.484767427077999802e+00,-4.099847646621100239e+01
3.858104885979999898e-01,4.877934730790999929e+00,2.199920638935000117e+00,2.526754199080000207e-01,1.173224429790000078e+00,2.777947274249000120e+00,-3.811441036059100185e+01
1.731029081898999955e+00,3.907859839123999812e+00,1.577737433430999925e+00,9.073516723100000236e-02,1.824785694797999902e+00,2.594939813245999982e+00,-4.252423114694600059e+01
-1.011228048889999953e-01,4.554143601219999837e+00,2.488343521301000116e+00,8.983430312800000372e-02,4.270909899249999975e-01,2.777810885087999893e+00,-3.825354465103200141e+01
2.732662761449999866e-01,4.513679762758999736e+00,2.172609748901999982e+00,1.042402771700000064e-01,1.799294566197999989e+00,2.528455251048999930e+00,-3.783783025136700218e+01
2.278134141060000062e-01,4.883846089572999816e+00,2.288356187977000022e+00,5.354137228800000259e-02,1.761255479276000013e+00,2.885027687906999816e+00,-3.689542799241299775e+01
5.296765843399999785e-01,3.155561928452999876e+00,1.382227302803999969e+00,5.231310963530000357e-01,6.078877141199999778e-01,2.438119979971999918e+00,-4.064164386706899990e+01
1.972693145287000016e+00,3.404868908532999949e+00,1.491776354123000026e+00,2.772752822110000070e-01,3.173213979119999806e-01,2.748012789006000212e+00,-4.038460604759700345e+01
1.919888154349999876e-01,4.878761375416999613e+00,2.356792249350000201e+00,3.976052793999999835e-02,1.859243940408999984e+00,2.675677813935000149e+00,-3.921841219188100069e+01
5.417008753659999787e-01,3.937006881923000190e+00,1.847767869859000101e+00,2.825798684320000032e-01,2.136581955556999812e+00,2.758468988264000110e+00,-3.741065427607500027e+01
3.383884602699999827e-02,4.315586013499999929e+00,2.233008387826000085e+00,2.424239781130000104e-01,1.287534663166999938e+00,2.694270464070999793e+00,-3.733161769534599728e+01
