# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
2.065688359075999792e+00,4.055847717598999758e+00,2.970685148767000072e+00,5.664702480500000137e-02,-2.720541135280000189e-01,9.127931739451000226e+00,-1.886827445031099870e+01
1.036451042284000090e+00,4.585454232867999913e+00,3.079667612065999815e+00,6.475549273200000011e-02,6.462952802099999894e-02,6.105854961983999907e+00,-1.722236024951099864e+01
3.521534880580000082e-01,4.632516349134999878e+00,2.644724771289999943e+00,4.562008694400000036e-02,1.137360050987999971e+00,3.005097021202999930e+00,-2.422680659123500035e+01
1.042429833411999907e+00,5.055547355029999856e+00,3.227816717672999935e+00,4.834762084299999985e-01,-5.361676485000000346e-03,6.057676427322999935e+00,-1.676634653530599905e+01
9.698872514220000518e-01,6.561850082906000026e+00,3.409722134626000045e+00,6.023600757589999688e-01,1.984814416699999876e-02,5.563122482872000063e+00,-1.862805136599800093e+01
2.023895158741999989e+00,5.378962256820000398e+00,2.735971876675999948e+00,5.121094377389999730e-01,-3.548332861210000133e-01,7.826121529212000105e+00,-1.832438794848599883e+01
1.460644833689999977e+00,4.078632891737999699e+00,2.558778320067999879e+00,2.224789325169999887e-01,2.358588194560000129e-01,6.222239306777000323e+00,-1.656832545299999992e+01
1.136774215179999992e+00,4.445011935553999649e+00,2.663128186065999881e+00,1.659711543990000093e-01,2.618983182810000199e-01,5.620950458532999683e+00,-1.850079073695399856e+01
1.464075665655999892e+00,4.615402873487999713e+00,3.408774589140000089e+00,1.954793409839999940e-01,-4.718988344639999943e-01,7.735566344805000050e+00,-1.763469753259899875e+01
1.073010565754999979e+00,5.758206066461999839e+00,3.083053009656000043e+00,4.636049525959999862e-01,5.180274498999999644e-03,6.328209195676000043e+00,-1.826332167771199977e+01
1.399160019161000079e+00,4.438766883900999716e+00,2.761470896306999823e+00,1.056900140770000024e-01,-9.701825884999999358e-03,6.411221709179000250e+00,-1.800454677240200141e+01
1.012684920587999970e+00,6.547106669549999758e+00,3.289992523052999829e+00,7.080106911939999526e-01,-1.524901463660000012e-01,5.743956996454000041e+00,-1.870674881606300133e+01
1.796660470853999936e+00,5.187602521439999670e+00,2.728101487858999974e+00,4.814763305070000055e-01,-5.867801336899999831e-02,6.968453343586999971e+00,-1.811055642531499998e+01
1.568907939900000131e-02,3.497402197880000063e+00,2.530962955721999919e+00,3.385573196999999701e-02,1.132476118410000065e+00,2.839183128849999793e+00,-2.659203859156700034e+01
3.507693495359999747e-01,4.815066689614000417e+00,2.776350234036999876e+00,1.310665927150000132e-01,1.211734125535000040e+00,2.645532548868999800e+00,-2.423197162141499916e+01
1.550919816249999972e+00,5.709048225684999700e+00,3.229340332312999884e+00,4.656015595629999781e-01,-4.980781823259999852e-01,7.624447528197999979e+00,-1.596976883978799933e+01
1.637596308395999900e+00,4.980390401329000127e+00,2.816277724679999928e+00,1.306963236350000002e-01,9.272163951100000079e-02,6.945448266675000148e+00,-1.723860399236900065e+01
6.729881453239999756e-01,6.134283180909999800e+00,3.008514753433999989e+00,2.538714469189999878e-01,7.857839971310000005e-01,3.737001894076000141e+00,-1.996893648101299945e+01
1.302311442569000111e+00,3.998044230686999878e+00,2.669402081464999910e+00,1.594410209430000003e-01,1.907341345050000136e-01,6.234224187039999698e+00,-1.793463302393099923e+01
5.509659591250000155e-01,4.183482935066000330e+00,2.527381026512999895e+00,1.048397454849999966e-01,1.058599842733999985e+00,3.747432735503999801e+00,-2.502981041459100098e+01
5.544504491980000171e-01,4.503801381439999751e+00,2.623560733546999924e+00,8.096385980999999676e-02,7.493938983900000350e-01,3.637222902473999930e+00,-2.402977852770600009e+01
1.996705230661999897e+00,3.989603656372000096e+00,2.636943405228000081e+00,2.846071352840000013e-01,-5.493532257500000071e-02,7.737352051571000366e+00,-1.582414370211300003e+01
2.417048210497000138e+00,2.687111434045000191e+00,3.497824997948999926e+00,7.614546154500000108e-02,-1.113256181371000020e+00,9.913601738118000384e+00,-1.753715968270499914e+01
4.315755720619999791e-01,3.178869439831999877e+00,2.328009718349000057e+00,1.122786979500000060e-01,7.371724916570000508e-01,3.770305405376999985e+00,-2.298875448158199930e+01
1.083270845975000007e+00,6.424719140059999667e+00,3.440358651083000208e+00,6.690077686309999772e-01,-1.749098132689999863e-01,6.734631244274000395e+00,-1.590902592319399922e+01
2.246903541190000020e+00,5.937435728989999717e+00,3.668654311347999908e+00,2.294054838519999917e-01,-8.050077705029999864e-01,8.260918527951000456e+00,-1.846502892193899825e+01
2.258946537012000100e+00,4.273509494894000227e+00,2.985069734071999825e+00,3.302927422070000008e-01,-4.427340499890000114e-01,7.305426375637999570e+00,-1.929280403088199947e+01
2.050820996056000212e+00,6.205745943136999898e+00,2.988597894615999895e+00,5.179130247640000295e-01,-2.395676942920000052e-01,6.994388935055000367e+00,-1.788153984359599846e+01
1.787861595971000028e+00,5.826448704480999830e+00,3.544008312408000183e+00,2.978106530269999941e-01,-5.175672494430000325e-01,8.395696918058000335e+00,-1.629103356919199896e+01
5.930754473089999701e-01,5.474403303925000408e+00,3.241585495314000198e+00,3.866414559540000129e-01,2.971451648419999869e-01,5.002587642917999844e+00,-1.864553553551699849e+01
1.675531043894999961e+00,4.316214394644999786e+00,2.501183729907999975e+00,6.700875347699999929e-02,4.951140326760000154e-01,5.467053007990999802e+00,-1.875744005174000151e+01
1.219438881232999927e+00,4.168880009549000398e+00,2.595236605361999960e+00,1.884134362490000048e-01,4.637966669549999921e-01,5.588445363326999704e+00,-1.758262039314899994e+01
1.816583174612999896e+00,4.254165567497000033e+00,2.572836667829999868e+00,3.226093068349999982e-01,-1.417998259009999873e-01,6.843392944758999619e+00,-1.892144851601999989e+01
1.195758017626999958e+00,3.713633171074000039e+00,2.611740664752999930e+00,1.396947070529999946e-01,1.021917437840000054e-01,6.662985785295999719e+00,-1.785385734031200045e+01
7.071832049430000211e-01,4.906554672542999818e+00,2.803903435685000112e+00,9.484977990800000369e-02,8.712809004420000170e-01,4.100870944438000265e+00,-2.210925274828100129e+01
1.759938607687999923e+00,6.181354462848999809e+00,3.248095924788000133e+00,3.365259292209999975e-01,-4.246206463880000115e-01,8.427720315820000252e+00,-1.801168586367899849e+01
1.740510888209999996e+00,4.920632449040000189e+00,3.313086251781999891e+00,6.760763989699999921e-02,-3.359312683349999773e-01,7.411839310732999841e+00,-1.826906448053799892e+01
2.415793716538999991e+00,4.537708289510000270e+00,2.803414017825999860e+00,2.925306949559999814e-01,-2.427338300609999944e-01,8.441158119045999442e+00,-1.849776331608299884e+01
5.170447807939999585e-01,5.057133605919999830e+00,2.943353216059000133e+00,2.310693081409999905e-01,6.425695219899999477e-01,4.420571821442999649e+00,-2.285403326171299909e+01
1.707928309891000085e+00,4.425306956382000223e+00,2.645545643145000181e+00,2.827166110600000046e-02,3.639105540450000009e-01,5.893397339288999781e+00,-1.935370990988599971e+01
8.765060573289999990e-01,5.994218499268000322e+00,3.123069045008000089e+00,1.794882815609999960e-01,4.078936928579999788e-01,5.123152731313999730e+00,-1.916323455571700052e+01
9.328821272870000403e-01,6.056111639136999791e+00,2.927365265179000087e+00,2.466161086339999919e-01,5.572180672390000256e-01,4.956493480328999723e+00,-2.011289549500699891e+01
1.569561333570999917e+00,5.789031887312999558e+00,3.167633714006000023e+00,4.783522950149999842e-01,-1.932525786119999867e-01,7.801656131412999962e+00,-1.990116727746499947e+01
1.251083344937000019e+00,6.429800548601000365e+00,3.211424342933999920e+00,2.822306772470000169e-01,2.679047038169999895e-01,5.609190775174999644e+00,-1.949374194055900134e+01
1.966240144501999909e+00,4.691522169718999713e+00,3.203839602458999902e+00,1.920462329679999969e-01,-4.397850687859999885e-01,9.053970299854999126e+00,-2.000396983053299849e+01
1.686444397093000092e+00,5.614224480869999923e+00,3.012215316403000109e+00,5.460403887479999829e-01,-2.624284679969999812e-01,7.382316327756999641e+00,-1.697482524919999847e+01
8.797703350929999555e-01,4.965156255129000051e+00,3.048045829703999843e+00,1.107102806289999991e-01,1.820480294160000123e-01,5.780642301287000073e+00,-1.902375644855500170e+01
2.059637775870000187e+00,5.994325762819999959e+00,3.779529466741999855e+00,2.285156980459999987e-01,-8.719716532300000322e-01,8.771201874457000613e+00,-1.790813284058300070e+01
5.232213124729999665e-01,5.649486260250999869e+00,3.079688669813999802e+00,3.291909559890000003e-01,7.997336709029999602e-01,3.704739869873999947e+00,-2.240126104438299848e+01
1.547874716524999972e+00,5.764769824520000085e+00,3.234184380904999934e+00,4.977783853100000155e-01,-2.911991023600000172e-01,7.801880467940000230e+00,-1.959256557345100092e+01
1.534267274115999946e+00,5.698330824798000016e+00,3.144940125655999896e+00,6.264358286310000024e-01,-3.574268275470000034e-01,7.029511651169999986e+00,-1.557116754396299996e+01
1.322649508623999992e+00,5.099875956815999700e+00,2.732199473366999865e+00,5.728350900280000380e-01,2.509733571900000029e-02,6.277657643621999739e+00,-1.823138466470100028e+01
2.309483597613000150e+00,3.674759205661000117e+00,3.029688505495999884e+00,1.458093400990000121e-01,-5.765057225209999636e-01,8.610705446106999617e+00,-1.662396369684200081e+01
1.864833145036999928e+00,4.103765572923999905e+00,2.651353496051000125e+00,3.178504353650000169e-01,-1.356793074179999947e-01,7.265359272762999865e+00,-1.614772560520900058e+01
2.269096293626999827e+00,5.244491193621000136e+00,3.332136239425000035e+00,2.454776670820000006e-01,-6.288473927519999673e-01,8.452916811121999885e+00,-1.678466025693499830e+01
9.634384086770000355e-01,4.438015332360000009e+00,2.879734501815999881e+00,1.265052639529999912e-01,2.210849568400000131e-01,6.035153096448000021e+00,-1.945889010762400062e+01
1.420337947741000084e+00,4.398022628716000249e+00,2.778164847898000112e+00,5.515200640540000032e-01,-3.283663011349999827e-01,6.551326170517000058e+00,-1.889447462773599895e+01
