# a_small,a_big,Rp_crit,sigma_R,a_zipf,sigma_inc,loglike
-2.682004609399999892e-02,5.749255761960999855e+00,2.831043866112000096e+00,2.304860310759999920e-01,1.178571262793999930e+00,1.400826265949000060e+00,-2.002553799815600044e+01
4.056038569090000268e-01,3.440610851804000170e+00,2.566938499163999854e+00,2.507995765400000132e-01,2.486088797150000085e-01,3.159112598311000220e+00,-2.356374258818999934e+01
8.038799677210000105e-01,3.830577501782999938e+00,2.306391986372999803e+00,3.260981369029999910e-01,4.478386395200000258e-01,3.203628401272000215e+00,-2.060761985390999840e+01
9.419751341440000258e-01,5.606424335579999862e+00,2.309696755076000141e+00,3.405254786870000050e-01,9.558237207230000365e-01,2.083694562714999865e+00,-2.253394963728599976e+01
7.253292634669999961e-01,4.523034829126999945e+00,2.345958056750999887e+00,1.657410323029999966e-01,8.874929257250000481e-01,2.525741107211000092e+00,-2.128123589910099867e+01
2.450663063050000090e-01,4.665068049042999654e+00,2.475241250864999909e+00,1.797656371190000102e-01,1.042926923903999992e+00,1.987412735386000051e+00,-2.097611490550400148e+01
-8.998128226999999729e-03,4.604496484370000253e+00,2.688066718348999906e+00,2.922338603619999975e-01,1.096180573639000011e+00,1.777769249903000004e+00,-2.138044345315800143e+01
1.931572855460000071e-01,4.182127282861999973e+00,2.283083015966000051e+00,1.399845486540000072e-01,1.207326148566000068e+00,1.285408046444999952e+00,-2.136735955542300047e+01
2.659562010229999940e-01,6.051965471055000378e+00,2.713210243108000075e+00,2.294735582840000121e-01,1.014289847884999984e+00,1.615693485543999941e+00,-2.072960964075199897e+01
4.383703151819999810e-01,5.237998877999999969e+00,2.693684599520000056e+00,4.902475683500000236e-02,7.233826432779999482e-01,2.556836962365999888e+00,-1.949305339012499871e+01
3.684524719400000259e-01,4.476251731370999742e+00,2.380177873527999921e+00,1.533021621400000069e-02,9.077935765669999935e-01,2.427828007291000123e+00,-1.945894164135599880e+01
-1.865479756100000067e-02,5.044738424940000243e+00,3.164736284983999948e+00,2.806847590039999729e-01,7.402339458569999753e-01,2.356778049105999973e+00,-2.375000632256200106e+01
3.680464813270000191e-01,5.522180001891999979e+00,2.462723559525000105e+00,1.808226128540000033e-01,9.801577061799999768e-01,1.598978972845999991e+00,-2.354604247172800058e+01
4.634614698000000255e-01,4.458143471508000388e+00,2.486471672473999917e+00,6.910105784799999706e-02,9.062003339669999491e-01,2.152611808282999917e+00,-1.921878368404799886e+01
6.815988138549999853e-01,4.175215381732000353e+00,2.052563688129000141e+00,2.012587411560000095e-01,1.348871938965999995e+00,1.074927940146999994e+00,-2.233489078004599904e+01
7.235157964270000353e-01,6.456534002520999849e+00,2.798287379243999951e+00,4.311410111300000014e-02,6.250130540139999802e-01,2.993738963773000084e+00,-2.120157086630900167e+01
1.792647429220000088e-01,5.954553979932000196e+00,2.697031947030999799e+00,1.465536305619999924e-01,1.023608974167000030e+00,2.054239499316000028e+00,-2.094351121524000092e+01
2.406037223839999906e-01,5.849844427825000359e+00,2.612736260214000072e+00,1.064317985340000050e-01,9.250220420310000247e-01,1.818370718493000027e+00,-2.180034378709099840e+01
6.059116321099999869e-02,5.888353321517000083e+00,2.794094091905999999e+00,8.432666453900000691e-02,1.315950458062999928e+00,9.412282166350000034e-01,-2.242973165665799939e+01
3.787126441059999737e-01,4.943568527093000320e+00,2.721633098738000189e+00,1.749012626080000132e-01,5.464485820450000197e-01,2.900891293736000076e+00,-2.076991077676499842e+01
1.988783527109999894e-01,4.557616431427000236e+00,2.610626310977000042e+00,1.136318068600000036e-02,8.458288315549999936e-01,2.040456328123999796e+00,-2.170463112186299881e+01
3.512842868850000189e-01,4.748687176917999686e+00,2.640562736411999900e+00,1.259090878459999951e-01,7.961915305400000253e-01,2.506770604985999906e+00,-1.845395142029699898e+01
9.899383431930000032e-01,4.606395108413000372e+00,2.159675186414999892e+00,2.829156679800000074e-01,1.486548545988999992e+00,1.336088476827999916e+00,-2.775325210444799851e+01
1.101232626510000034e-01,6.455508667876999951e+00,2.987367927391999967e+00,2.891264199699999926e-01,9.322960863260000286e-01,2.024328356510999960e+00,-2.050572330627899831e+01
3.303822048300000258e-01,6.343091620116999785e+00,2.792366385753000113e+00,3.889167409779999973e-01,8.883800904490000150e-01,2.192941146198999824e+00,-2.031249004828800153e+01
1.599465734530000072e-01,6.739804451593999879e+00,2.825154766317000021e+00,4.635704186560000162e-01,1.154409010108000011e+00,1.476005847086000022e+00,-2.032049450351700060e+01
1.499074285729999900e-01,4.619136078949000357e+00,2.356046553700999802e+00,2.080606114699999967e-02,1.279527049164000063e+00,1.036971627662000017e+00,-2.276535350149899983e+01
2.418474927810000119e-01,5.796666558793000412e+00,2.652548570660000049e+00,2.036356578530000017e-01,1.171617604027000104e+00,1.150607680979000014e+00,-2.116115557172599893e+01
3.254331391620000069e-01,3.857473469783999853e+00,2.249699746406999878e+00,1.233266262430000038e-01,1.109573703384000076e+00,1.699825612494999971e+00,-2.122932722626899960e+01
8.303421450329999676e-01,4.846399063944000218e+00,2.518137706411999854e+00,2.822000405210000062e-01,8.840120309619999839e-01,2.455886238455000203e+00,-2.176761700097399910e+01
3.503878077750000042e-01,7.003178263348999621e+00,3.021008212099999923e+00,5.100789492330000119e-01,8.480481675659999885e-01,1.955899058945000046e+00,-1.953706876676200110e+01
2.648105640280000173e-01,4.744282253068000443e+00,2.568417556442000205e+00,2.195209583799999919e-01,8.973645649179999850e-01,1.922322709746000058e+00,-1.943002171648599941e+01
