# overall AIC: 40.96095992078 
#  population,partChain,AIC
0,0,41.436529389340
0,1,40.594394260414
0,2,41.489876281706
0,3,42.255485967436
0,4,41.945911560424
0,5,41.489876281706
0,6,40.739201169980
0,7,41.716669849180
0,8,41.829591545770
0,9,42.255485967436
1,0,40.594731908962
1,1,40.795933335418
1,2,41.001755265014
1,3,40.067147230162
1,4,40.817128744980
1,5,40.795933335418
1,6,41.060588927312
1,7,39.689705870076
1,8,39.689705870076
1,9,40.067147230162
2,0,41.560600294406
2,1,41.521022378672
2,2,41.521022378672
2,3,41.047606981622
2,4,41.047606981622
2,5,41.070875028268
2,6,40.935468017106
2,7,40.624450625662
2,8,40.624450625662
2,9,41.433132502722
3,0,40.428273049370
3,1,39.655638669328
3,2,40.358243595254
3,3,41.212087440906
3,4,40.485560245040
3,5,39.655638669328
3,6,40.510263005598
3,7,39.655638669328
3,8,40.428273049370
3,9,40.586905807596
4,0,41.251163179690
4,1,40.756652371256
4,2,41.651098911300
4,3,40.756652371256
4,4,40.894637490664
4,5,39.341130635244
4,6,40.229099748250
4,7,41.460563679698
4,8,40.726094994298
4,9,41.105193416774
5,0,42.574075273802
5,1,42.574075273802
5,2,42.416984315854
5,3,42.469601423462
5,4,42.665197156192
5,5,42.939960590836
5,6,42.574075273802
5,7,42.665197156192
5,8,42.939960590836
5,9,43.354231451282
6,0,39.009097701582
6,1,39.433412732650
6,2,39.544241127772
6,3,38.369857571842
6,4,39.404061447280
6,5,37.952404208486
6,6,39.528264650994
6,7,39.404061447280
6,8,39.438072301756
6,9,40.039584927984
7,0,40.605652471768
7,1,41.078304832582
7,2,40.737849840924
7,3,41.369502328170
7,4,40.605652471768
7,5,41.810354726094
7,6,41.782720104574
7,7,40.605652471768
7,8,40.850694198732
7,9,40.605652471768
8,0,38.552637941906
8,1,39.972742669700
8,2,40.010119507534
8,3,40.235593229910
8,4,39.582162542578
8,5,40.438662747410
8,6,39.972742669700
8,7,39.582162542578
8,8,40.254409428360
8,9,40.588383964156
9,0,41.567465996298
9,1,40.960959920780
9,2,41.009732715760
9,3,41.412597114150
9,4,41.274073091080
9,5,41.274073091080
9,6,41.244698092332
9,7,40.960959920780
9,8,41.831963216668
9,9,42.427412006686
