# overall AIC: 47.011626486524 
#  population,partChain,AIC
0,0,49.480151891948
0,1,48.948632645954
0,2,48.500878007472
0,3,48.500878007472
0,4,48.024460659200
0,5,48.609552038846
0,6,48.838916354264
0,7,48.024460659200
0,8,48.500878007472
0,9,48.024460659200
1,0,50.317434091566
1,1,51.571529475422
1,2,51.958382264550
1,3,50.936495468094
1,4,51.506686514066
1,5,52.276332917890
1,6,51.656141908298
1,7,51.355247379738
1,8,51.355247379738
1,9,51.482387729776
2,0,47.196610032830
2,1,47.556551367144
2,2,45.953362785560
2,3,45.902807244082
2,4,47.221641797168
2,5,46.964017266464
2,6,46.957786243588
2,7,45.953362785560
2,8,45.902807244082
2,9,46.907140468212
3,0,48.113500794184
3,1,49.929462618846
3,2,47.971641859528
3,3,48.554234905372
3,4,48.856393507216
3,5,47.971641859528
3,6,50.005567014006
3,7,49.366822273684
3,8,47.905445058190
3,9,47.971641859528
4,0,45.964687834560
4,1,46.438989978462
4,2,46.844700093960
4,3,46.035207014064
4,4,46.844700093960
4,5,45.964687834560
4,6,47.319500496394
4,7,45.964687834560
4,8,46.438989978462
4,9,47.137146011050
5,0,47.512933240700
5,1,48.252257704342
5,2,48.238854135958
5,3,48.001165989430
5,4,48.034233536242
5,5,48.176922461554
5,6,48.613326925032
5,7,48.236177950964
5,8,47.932903401312
5,9,47.716307682790
6,0,52.560760032478
6,1,53.942997878328
6,2,53.352106645148
6,3,53.728932937470
6,4,52.270154743700
6,5,52.270154743700
6,6,53.596768171964
6,7,52.590920302492
6,8,52.560760032478
6,9,53.829070302542
7,0,48.420877488068
7,1,48.956257090104
7,2,48.420877488068
7,3,48.904895265082
7,4,49.503696811684
7,5,48.630374537260
7,6,48.956257090104
7,7,48.956257090104
7,8,49.682088638180
7,9,48.730562071692
8,0,47.558483977814
8,1,48.024692716030
8,2,47.763311594026
8,3,46.996356847000
8,4,47.167734402550
8,5,47.988790946834
8,6,46.996356847000
8,7,47.988790946834
8,8,46.996356847000
8,9,48.172825777656
9,0,47.727877447926
9,1,47.853152804356
9,2,48.236546778824
9,3,47.011626486524
9,4,48.049783685544
9,5,47.937239696220
9,6,47.289244985298
9,7,48.292343730216
9,8,47.011626486524
9,9,47.760034752072
